source_id,source_type,source_date,source_tablet,source_title,source_filename,source_archive_filename,source_archive_path,target_id,target_type,target_date,target_tablet,target_title,target_filename,target_archive_filename,target_archive_path,target_path,status
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,,Personal Space/memo/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,ok
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,TAB-III,stone_tablet,,III,Stone Tablet III · The Starling Convergence,Stone Tablet III -- The Starling Convergence -- Complete.md,Stone Tablet III -- The Starling Convergence -- Complete.md,,Personal Space/memo/Stone Tablets/Stone Tablet III -- The Starling Convergence -- Complete.md,ok
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,TAB-IV,stone_tablet,,IV,Stone Tablet IV · Volume I Witness Companion,Stone Tablet IV -- Volume I Witness Companion -- Complete.md,Stone Tablet IV -- Volume I Witness Companion -- Complete.md,,Personal Space/memo/Stone Tablets/Stone Tablet IV -- Volume I Witness Companion -- Complete.md,ok
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,TAB-V,stone_tablet,,V,"Stone Tablet V · Come Out of Her, My Children","Stone Tablet V -- Come Out of Her, My Children -- A Watchman's Testimony from the Sleeping Bride's Hour.md","Stone Tablet V -- Come Out of Her, My Children -- A Watchman's Testimony from the Sleeping Bride's Hour.md",,"Personal Space/memo/Stone Tablets/Stone Tablet V -- Come Out of Her, My Children -- A Watchman's Testimony from the Sleeping Bride's Hour.md",ok
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,TAB-VI,stone_tablet,,VI,Stone Tablet VI · The Night the Silence Should Have Come Sooner,Stone Tablet VI - The Night the Silence Should Have Come Sooner.md,Stone Tablet VI - The Night the Silence Should Have Come Sooner.md,,Personal Space/memo/Stone Tablets/Stone Tablet VI - The Night the Silence Should Have Come Sooner.md,ok
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,TAB-VII,stone_tablet,,VII,Stone Tablet VII · Koinonia Takes Precedence · Volume IV,Stone Tablet VII -- A Living Topology of Transformation -- Volume IV -- Complete.md,Stone Tablet VII -- A Living Topology of Transformation -- Volume IV -- Complete.md,,Personal Space/memo/Stone Tablets/Stone Tablet VII -- A Living Topology of Transformation -- Volume IV -- Complete.md,ok
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,TAB-VIII,stone_tablet,,VIII,Stone Tablet VIII · Seed Register,Stone Tablet VIII -- Seed Register.md,Stone Tablet VIII -- Seed Register.md,,Personal Space/memo/Stone Tablets/Stone Tablet VIII -- Seed Register.md,ok
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,MED-0007,meditation,2026-02-27,I,02-27 Personal Meditation_ Divine Winnowing and the Transformation from Ambition to Abiding,02-27 Personal Meditation_ Divine Winnowing and the Transformation from Ambition to Abiding.md,02-27 Personal Meditation_ Divine Winnowing and the Transformation from Ambition to Abiding.md,,Personal Space/memo/PLAUD Meditations/Feb/02-27 Personal Meditation_ Divine Winnowing and the Transformation from Ambition to Abiding.md,ok
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,MED-0034,meditation,2026-03-20,I,03-20 Personal Meditation_ The Hidden Mathematics of Divine Perfection—When Thirteen Becomes the Number of the Remnant,03-20 Personal Meditation_ The Hidden Mathematics of Divine Perfection—When Thirteen Becomes the Number of the Remnant-Summary.md,03-20 Personal Meditation_ The Hidden Mathematics of Divine Perfection—When Thirteen Becomes the Number of the Remnant-Summary.md,,Personal Space/memo/PLAUD Meditations/March/03-20 Personal Meditation_ The Hidden Mathematics of Divine Perfection—When Thirteen Becomes the Number of the Remnant-Summary.md,ok
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,MED-0032,meditation,2026-03-17,I,03-17 Personal Meditation_ Kenosis and the Death of Self-Sufficiency,03-17 Personal Meditation_ Kenosis and the Death of Self-Sufficiency-Summary.md,03-17 Personal Meditation_ Kenosis and the Death of Self-Sufficiency-Summary.md,,Personal Space/memo/PLAUD Meditations/March/03-17 Personal Meditation_ Kenosis and the Death of Self-Sufficiency-Summary.md,ok
