Date,Month,Tablet Window,Stone Tablet,Tablet Window Days,Title,Primary Theme,Cross-References,File Path
,August,UNKNOWN,Tablet ? · Unassigned,,Prophetic Word - 08-13 at 12_33,"this is a **received prophetic word**, not a reflection — the Lord's speech to Seth on Aug 13 · 12:33, addressed to the Church. It sits at the exact center of the Woodwork-and-W...",9,Personal Space/memo/PLAUD Meditations/August/Prophetic Word - 08-13 at 12_33.md
,June,V,"Tablet V · Come Out of Her, My Children",May 26 – Aug 16 (Volume III),"_06-19 at 12_27 — What the Lord Builds, He Funds","Seth's Jun 19 · 12:27 — what the Lord builds, He funds; Ps 127:1 walked into provision-doctrine.",6,"Personal Space/memo/PLAUD Meditations/June/_06-19 at 12_27 — What the Lord Builds, He Funds-Public Spoken Word — PLAUD Note Prompt.md"
2026-02-15,Feb,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Personal Meditation_ Spirit-Led Transcript Template,Spirit-Led Transcript Template,10,Personal Space/memo/PLAUD Meditations/Feb/02-15 Personal Meditation_ Spirit-Led Transcript Template-Summary.md
2026-02-20,Feb,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),"Meditation_ Joseph, Paul, and Severe Mercy in Discipline","Joseph, Paul, and Severe Mercy in Discipline",14,"Personal Space/memo/PLAUD Meditations/Feb/02-20 Meditation_ Joseph, Paul, and Severe Mercy in Discipline-Summary.md"
2026-02-23,Feb,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),"Reflection_ Judas, Faith, Mercy, and Divine Sovereignty","Judas, Faith, Mercy, and Divine Sovereignty",14,"Personal Space/memo/PLAUD Meditations/Feb/02-23 Reflection_ Judas, Faith, Mercy, and Divine Sovereignty-Public Spoken Word - Spirit-Led Scriptural Analysis & Content Template (1).md"
2026-02-25,Feb,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),"Personal Meditation_ Divine Providence, Judas, and the Abolition of Binary Judgment","Divine Providence, Judas, and the Abolition of Binary Judgment",12,"Personal Space/memo/PLAUD Meditations/Feb/02-25 Personal Meditation_ Divine Providence, Judas, and the Abolition of Binary Judgment.md"
2026-02-25,Feb,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),"Personal Meditation_ Divine Sovereignty, Grace, and the Mystery of Providence","Divine Sovereignty, Grace, and the Mystery of Providence",15,"Personal Space/memo/PLAUD Meditations/Feb/02-25 Personal Meditation_ Divine Sovereignty, Grace, and the Mystery of Providence.md"
2026-02-26,Feb,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Personal Meditation_ Divine Discipline and Severe Mercy in Church Community,Divine Discipline and Severe Mercy in Church Community,15,Personal Space/memo/PLAUD Meditations/Feb/02-26 Personal Meditation_ Divine Discipline and Severe Mercy in Church Community.md
2026-02-27,Feb,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Personal Meditation_ Divine Winnowing and the Transformation from Ambition to Abiding,Divine Winnowing and the Transformation from Ambition to Abiding,22,Personal Space/memo/PLAUD Meditations/Feb/02-27 Personal Meditation_ Divine Winnowing and the Transformation from Ambition to Abiding.md
2026-02-27,Feb,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Personal Meditation_ God_s Sufficient Grace and the Removal of Condemnation,God_s Sufficient Grace and the Removal of Condemnation,13,Personal Space/memo/PLAUD Meditations/Feb/02-27 Personal Meditation_ God_s Sufficient Grace and the Removal of Condemnation.md
2026-02-27,Feb,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Personal Meditation_ Judgment as Redemptive Discipline in the Story of Jonah,Judgment as Redemptive Discipline in the Story of Jonah,14,Personal Space/memo/PLAUD Meditations/Feb/02-27 Personal Meditation_ Judgment as Redemptive Discipline in the Story of Jonah.md
2026-02-27,Feb,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Personal Meditation_ Spiritual Preparation Through Sleeplessness and Surrendering Self in the Midnight Hour,Spiritual Preparation Through Sleeplessness and Surrendering Self in the Midnight Hour,17,Personal Space/memo/PLAUD Meditations/Feb/02-27 Personal Meditation_ Spiritual Preparation Through Sleeplessness and Surrendering Self in the Midnight Hour.md
2026-02-28,Feb,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Personal Meditation_ Resting in the Finished Work of Christ and Covenant Identity,Resting in the Finished Work of Christ and Covenant Identity,14,Personal Space/memo/PLAUD Meditations/Feb/02-28 Personal Meditation_ Resting in the Finished Work of Christ and Covenant Identity.md
2026-03-01,March,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),A Convert_s Journey_ Navigating Direct Revelation and the Need for Communal Accountabiliy,Navigating Direct Revelation and the Need for Communal Accountabiliy,12,Personal Space/memo/PLAUD Meditations/March/03-01 A Convert_s Journey_ Navigating Direct Revelation and the Need for Communal Accountabiliy.md
2026-03-01,March,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),"Meditation_ God_s Relentless Pursuit — Jonah, Meekness, the Living Temple, and Sovereign Grace","God_s Relentless Pursuit — Jonah, Meekness, the Living Temple, and Sovereign Grace",16,"Personal Space/memo/PLAUD Meditations/March/03-01 Meditation_ God_s Relentless Pursuit — Jonah, Meekness, the Living Temple, and Sovereign Grace.md"
2026-03-02,March,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Meditation_ Spiritual Warfare Against Deceptive Powers and Call to Intercession,Spiritual Warfare Against Deceptive Powers and Call to Intercession,14,Personal Space/memo/PLAUD Meditations/March/03-02 Meditation_ Spiritual Warfare Against Deceptive Powers and Call to Intercession-Summary.md
2026-03-04,March,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Meditation_ Spiritual Warfare Against Deceptive Powers and Call to Intercession,Spiritual Warfare Against Deceptive Powers and Call to Intercession,14,Personal Space/memo/PLAUD Meditations/March/03-04 Meditation_ Spiritual Warfare Against Deceptive Powers and Call to Intercession-Summary.md
2026-03-04,March,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Personal Meditation_ Confronting Spiritual Warfare and the Limits of Human Strength,Confronting Spiritual Warfare and the Limits of Human Strength,10,Personal Space/memo/PLAUD Meditations/March/03-04 Personal Meditation_ Confronting Spiritual Warfare and the Limits of Human Strength-Summary.md
2026-03-05,March,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),"Summary_ Obedience, Spiritual Victory, and the Limits of Transcendent Communication","Obedience, Spiritual Victory, and the Limits of Transcendent Communication",12,"Personal Space/memo/PLAUD Meditations/March/03-05 Summary_ Obedience, Spiritual Victory, and the Limits of Transcendent Communication-Summary.md"
2026-03-06,March,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Meditation_ Grace Beyond Condemnation - Faith and Identity in Christ,Grace Beyond Condemnation - Faith and Identity in Christ,9,Personal Space/memo/PLAUD Meditations/March/03-06 Meditation_ Grace Beyond Condemnation - Faith and Identity in Christ-Summary.md
2026-03-06,March,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),"Personal Meditation_ Divine Discipline, Spiritual Idolatry, and the Prayer of Surrender","Divine Discipline, Spiritual Idolatry, and the Prayer of Surrender",12,"Personal Space/memo/PLAUD Meditations/March/03-06 Personal Meditation_ Divine Discipline, Spiritual Idolatry, and the Prayer of Surrender-Summary.md"
2026-03-06,March,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Personal Meditation_ Spiritual Warfare Strategy Against the Church - Guarding Divine Assignment,Spiritual Warfare Strategy Against the Church - Guarding Divine Assignment,11,Personal Space/memo/PLAUD Meditations/March/03-06 Personal Meditation_ Spiritual Warfare Strategy Against the Church - Guarding Divine Assignment-Summary.md
2026-03-06,March,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),"Personal Meditation_ The Sacred Threshold - Daily Bread, Divine Anointing, and Watchful Intercession in Radical Disci...","The Sacred Threshold - Daily Bread, Divine Anointing, and Watchful Intercession in Radical Discipleship",15,"Personal Space/memo/PLAUD Meditations/March/03-06 Personal Meditation_ The Sacred Threshold - Daily Bread, Divine Anointing, and Watchful Intercession in Radical Discipleship-Summary.md"
2026-03-06,March,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Personal Meditation_ The Trembling Yes — When Christ Calls the Unworthy,The Trembling Yes — When Christ Calls the Unworthy,12,Personal Space/memo/PLAUD Meditations/March/03-06 Personal Meditation_ The Trembling Yes — When Christ Calls the Unworthy-Summary.md
2026-03-07,March,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Reflection_ Performance vs. Presence in Faith - The Cross Never Removed,Performance vs. Presence in Faith - The Cross Never Removed,11,Personal Space/memo/PLAUD Meditations/March/03-07 Reflection_ Performance vs. Presence in Faith - The Cross Never Removed-Summary.md
2026-03-11,March,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Personal Meditation_ The Crucible of False Accusation — Responding to Attack with Grace and Walking Through Fire,The Crucible of False Accusation — Responding to Attack with Grace and Walking Through Fire,11,Personal Space/memo/PLAUD Meditations/March/03-11 Personal Meditation_ The Crucible of False Accusation — Responding to Attack with Grace and Walking Through Fire-Summary.md
2026-03-12,March,I,Tablet I · Volume I · The Architecture of Formation,Feb 14 – Apr 14 (60-day Kairos),Meditation_ Divine Encounter vs. Theological Correctness - Holiness as Consecration,Divine Encounter vs. Theological Correctness - Holiness as Consecration,11,Personal Space/memo/PLAUD Meditations/March/03-12 Meditation_ Divine Encounter vs. Theological Correctness - Holiness as Consecration.md
